,icd10_category,description
0,K76,Other diseases of liver
1,R18,Ascites
2,K74,Fibrosis and cirrhosis of liver
3,B19,Unspecified viral hepatitis
4,J44,Other chronic obstructive pulmonary disease
5,F31,Bipolar affective disorder
6,F43,"Reaction to severe stress, and adjustment disorders"
7,Z87,Personal history of other diseases and conditions
8,D69,Purpura and other haemorrhagic conditions
9,E87,"Other disorders of fluid, electrolyte and acid-base balance"
10,Z21,Asymptomatic human immunodeficiency virus [HIV] infection status
11,F17,Mental and behavioural disorders due to use of tobacco
12,B18,Chronic viral hepatitis
13,Z99,"Dependence on enabling machines and devices, not elsewhere classified"
14,K52,Other noninfective gastroenteritis and colitis
15,I95,Hypotension
16,R64,Cachexia
18,F10,Mental and behavioural disorders due to use of alcohol
19,G31,"Other degenerative diseases of nervous system, not elsewhere classified"
20,F02,Dementia in other diseases classified elsewhere
21,R44,Other symptoms and signs involving general sensations and perceptions
22,R29,Other symptoms and signs involving the nervous and musculoskeletal systems
23,E78,Disorders of lipoprotein metabolism and other lipidaemias
24,Z85,Personal history of malignant neoplasm
25,R41,Other symptoms and signs involving cognitive functions and awareness
26,G20,Parkinson disease
27,R60,"Oedema, not elsewhere classified"
28,K12,Stomatitis and related lesions
29,K02,Dental caries
30,R13,Dysphagia
31,R09,Other symptoms and signs involving the circulatory and respiratory systems
32,K31,Other diseases of stomach and duodenum
33,K21,Gastro-oesophageal reflux disease
34,K44,Diaphragmatic hernia
35,F41,Other anxiety disorders
36,I34,Nonrheumatic mitral valve disorders
37,M81,Osteoporosis without pathological fracture
38,S72,Fracture of femur
39,W01,"Fall on same level from slipping, tripping and stumbling"
42,G43,Migraine
44,R51,Headache
45,S30,"Superficial injury of abdomen, lower back and pelvis"
46,S00,Superficial injury of head
48,D66,Hereditary factor VIII deficiency
49,D64,Other anaemias
50,C64,"Malignant neoplasm of kidney, except renal pelvis"
51,Z86,Personal history of certain other diseases
52,R07,Pain in throat and chest
53,R20,Disturbances of skin sensation
54,I10,Essential (primary) hypertension
55,E66,Obesity
56,E11,Type 2 diabetes mellitus
57,I47,Paroxysmal tachycardia
58,Z20,Contact with and exposure to communicable diseases
59,I49,Other cardiac arrhythmias
60,I50,Heart failure
61,J18,"Pneumonia, organism unspecified"
62,G25,Other extrapyramidal and movement disorders
63,I87,Other disorders of veins
64,F34,Persistent mood [affective] disorders
65,M15,Polyarthrosis
66,M41,Scoliosis
67,J69,Pneumonitis due to solids and liquids
68,J96,"Respiratory failure, not elsewhere classified"
69,N17,Acute renal failure
70,K92,Other diseases of digestive system
71,J91,Pleural effusion in conditions classified elsewhere
72,J98,Other respiratory disorders
74,I48,Atrial fibrillation and flutter
75,I25,Chronic ischaemic heart disease
76,K56,Paralytic ileus and intestinal obstruction without hernia
77,F05,"Delirium, not induced by alcohol and other psychoactive substances"
78,C18,Malignant neoplasm of colon
79,K57,Diverticular disease of intestine
80,F06,Other mental disorders due to brain damage and dysfunction and to physical disease
81,R62,Lack of expected normal physiological development
82,R21,Rash and other nonspecific skin eruption
83,H91,Other hearing loss
84,O70,Perineal laceration during delivery
86,O25,Malnutrition in pregnancy
87,Z37,Outcome of delivery
88,Z22,Carrier of infectious disease
89,S02,Fracture of skull and facial bones
90,I21,Acute myocardial infarction
91,R55,Syncope and collapse
92,R04,Haemorrhage from respiratory passages
93,D72,Other disorders of white blood cells
94,I35,Nonrheumatic aortic valve disorders
95,W18,Other fall on same level
96,I73,Other peripheral vascular diseases
97,K70,Alcoholic liver disease
98,N39,Other disorders of urinary system
99,E46,Unspecified protein-energy malnutrition
100,J90,"Pleural effusion, not elsewhere classified"
101,K59,Other functional intestinal disorders
102,D53,Other nutritional anaemias
103,A41,Other sepsis
104,M54,Dorsalgia
106,F33,Recurrent depressive disorder
107,F32,Depressive episode
108,J03,Acute tonsillitis
109,R11,Nausea and vomiting
110,R05,Cough
111,R50,Fever of other and unknown origin
112,E86,Volume depletion
113,R93,Abnormal findings on diagnostic imaging of other body structures
114,R91,Abnormal findings on diagnostic imaging of lung
115,E53,Deficiency of other B group vitamins
116,M47,Spondylosis
117,Z98,Other postsurgical states
118,T81,"Complications of procedures, not elsewhere classified"
119,Y83,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
120,C78,Secondary malignant neoplasm of respiratory and digestive organs
121,G93,Other disorders of brain
122,D68,Other coagulation defects
123,D63,Anaemia in chronic diseases classified elsewhere
124,F40,Phobic anxiety disorders
125,R32,Unspecified urinary incontinence
126,Z90,"Acquired absence of organs, not elsewhere classified"
127,Z80,Family history of malignant neoplasm
128,C80,"Malignant neoplasm, without specification of site"
129,R10,Abdominal and pelvic pain
130,R63,Symptoms and signs concerning food and fluid intake
131,G47,Sleep disorders
133,R34,Anuria and oliguria
134,N40,Hyperplasia of prostate
135,E04,Other nontoxic goitre
136,D50,Iron deficiency anaemia
137,I13,Hypertensive heart and renal disease
138,N18,Chronic kidney disease
139,N25,Disorders resulting from impaired renal tubular function
140,Z95,Presence of cardiac and vascular implants and grafts
142,I12,Hypertensive renal disease
143,Z91,"Personal history of risk-factors, not elsewhere classified"
144,I70,Atherosclerosis
145,I20,Angina pectoris
146,I82,Other venous embolism and thrombosis
147,K29,Gastritis and duodenitis
149,D62,Acute posthaemorrhagic anaemia
150,T80,"Complications following infusion, transfusion and therapeutic injection"
151,N08,Glomerular disorders in diseases classified elsewhere
152,M79,"Other soft tissue disorders, not elsewhere classified"
154,R79,Other abnormal findings of blood chemistry
155,I80,Phlebitis and thrombophlebitis
156,Z23,Need for immunization against single bacterial diseases
157,K25,Gastric ulcer
158,T45,"Poisoning by primarily systemic and haematological agents, not elsewhere classified"
159,K22,Other diseases of oesophagus
160,I24,Other acute ischaemic heart diseases
161,J15,"Bacterial pneumonia, not elsewhere classified"
162,G92,Toxic encephalopathy
163,R74,Abnormal serum enzyme levels
164,K50,Crohn disease [regional enteritis]
165,B37,Candidiasis
166,M89,Other disorders of bone
167,Z92,Personal history of medical treatment
168,M95,Other acquired deformities of musculoskeletal system and connective tissue
169,Z48,Other surgical follow-up care
170,G40,Epilepsy
171,L29,Pruritus
172,G06,Intracranial and intraspinal abscess and granuloma
173,G35,Multiple sclerosis
174,B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters
175,B96,Other specified bacterial agents as the cause of diseases classified to other chapters
176,O80,Single spontaneous delivery
177,K63,Other diseases of intestine
179,L03,Cellulitis
180,N83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament"
181,T83,"Complications of genitourinary prosthetic devices, implants and grafts"
182,N13,Obstructive and reflux uropathy
183,Z96,Presence of other functional implants
184,E03,Other hypothyroidism
185,Y84,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
186,C67,Malignant neoplasm of bladder
187,D25,Leiomyoma of uterus
188,E89,"Postprocedural endocrine and metabolic disorders, not elsewhere classified"
189,Z93,Artificial opening status
190,K43,Ventral hernia
191,I26,Pulmonary embolism
192,E83,Disorders of mineral metabolism
193,N63,Unspecified lump in breast
194,K65,Peritonitis
195,R78,"Findings of drugs and other substances, not normally found in blood"
196,Z43,Attention to artificial openings
197,R65,Systemic Inflammatory Response Syndrome [SIRS]
198,N12,"Tubulo-interstitial nephritis, not specified as acute or chronic"
199,I27,Other pulmonary heart diseases
200,N99,"Postprocedural disorders of genitourinary system, not elsewhere classified"
201,E43,Unspecified severe protein-energy malnutrition
202,R31,Unspecified haematuria
203,R82,Other abnormal findings in urine
204,N10,Acute tubulo-interstitial nephritis
205,O42,Premature rupture of membranes
206,O99,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
207,O34,Maternal care for known or suspected abnormality of pelvic organs
209,I51,Complications and ill-defined descriptions of heart disease
210,R47,"Speech disturbances, not elsewhere classified"
211,I11,Hypertensive heart disease
212,R94,Abnormal results of function studies
213,I45,Other conduction disorders
214,R33,Retention of urine
215,T78,"Adverse effects, not elsewhere classified"
216,J45,Asthma
217,M60,Myositis
218,K58,Irritable bowel syndrome
219,N81,Female genital prolapse
220,F90,Hyperkinetic disorders
221,I89,Other noninfective disorders of lymphatic vessels and lymph nodes
222,T82,"Complications of cardiac and vascular prosthetic devices, implants and grafts"
223,E88,Other metabolic disorders
224,C34,Malignant neoplasm of bronchus and lung
225,C77,Secondary and unspecified malignant neoplasm of lymph nodes
226,C79,Secondary malignant neoplasm of other and unspecified sites
227,Z51,Other medical care
228,E55,Vitamin D deficiency
229,S12,Fracture of neck
230,S01,Open wound of head
231,R26,Abnormalities of gait and mobility
232,Z28,Immunization not carried out
233,D32,Benign neoplasm of meninges
234,I63,Cerebral infarction
235,I44,Atrioventricular and left bundle-branch block
236,R00,Abnormalities of heart beat
237,J10,Influenza due to identified seasonal influenza virus
238,G56,Mononeuropathies of upper limb
239,M19,Other arthrosis
240,H57,Other disorders of eye and adnexa
241,K72,"Hepatic failure, not elsewhere classified"
242,R57,"Shock, not elsewhere classified"
243,I46,Cardiac arrest
244,J01,Acute sinusitis
245,Z82,Family history of certain disabilities and chronic diseases leading to disablement
247,R06,Abnormalities of breathing
248,H40,Glaucoma
249,H69,Other disorders of Eustachian tube
250,Z00,General examination and investigation of persons without complaint and reported diagnosis
251,C16,Malignant neoplasm of stomach
252,K91,"Postprocedural disorders of digestive system, not elsewhere classified"
253,N35,Urethral stricture
254,R45,Symptoms and signs involving emotional state
255,S32,Fracture of lumbar spine and pelvis
256,Z89,Acquired absence of limb
257,M86,Osteomyelitis
258,L97,"Ulcer of lower limb, not elsewhere classified"
259,M71,Other bursopathies
260,M75,Shoulder lesions
261,N30,Cystitis
262,M25,"Other joint disorders, not elsewhere classified"
263,R03,"Abnormal blood-pressure reading, without diagnosis"
266,J43,Emphysema
267,T40,Poisoning by narcotics and psychodysleptics [hallucinogens]
268,T87,Complications peculiar to reattachment and amputation
269,R15,Faecal incontinence
270,M65,Synovitis and tenosynovitis
271,S83,"Dislocation, sprain and strain of joints and ligaments of knee"
272,X58,Exposure to other specified factors
273,G57,Mononeuropathies of lower limb
274,K20,Oesophagitis
275,G30,Alzheimer disease
276,A08,Viral and other specified intestinal infections
277,H10,Conjunctivitis
278,H35,Other retinal disorders
279,Q21,Congenital malformations of cardiac septa
280,N28,"Other disorders of kidney and ureter, not elsewhere classified"
281,E07,Other disorders of thyroid
282,K80,Cholelithiasis
283,Z46,Fitting and adjustment of other devices
284,J30,Vasomotor and allergic rhinitis
285,M17,Gonarthrosis [arthrosis of knee]
286,M46,Other inflammatory spondylopathies
287,M70,"Soft tissue disorders related to use, overuse and pressure"
288,C50,Malignant neoplasm of breast
289,I83,Varicose veins of lower extremities
290,I67,Other cerebrovascular diseases
292,M51,Other intervertebral disc disorders
293,M48,Other spondylopathies
294,N85,"Other noninflammatory disorders of uterus, except cervix"
296,O69,Labour and delivery complicated by umbilical cord complications
297,O41,Other disorders of amniotic fluid and membranes
298,M35,Other systemic involvement of connective tissue
299,O62,Abnormalities of forces of labour
300,O63,Long labour
301,R76,Other abnormal immunological findings in serum
302,G91,Hydrocephalus
303,G51,Facial nerve disorders
304,M21,Other acquired deformities of limbs
305,R73,Elevated blood glucose level
306,T38,"Poisoning by hormones and their synthetic substitutes and antagonists, not elsewhere classified"
307,R39,Other symptoms and signs involving the urinary system
308,D17,Benign lipomatous neoplasm
309,A04,Other bacterial intestinal infections
310,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances
311,L27,Dermatitis due to substances taken internally
312,S09,Other and unspecified injuries of head
313,S49,Other and unspecified injuries of shoulder and upper arm
314,S79,Other and unspecified injuries of hip and thigh
315,H53,Visual disturbances
316,H04,Disorders of lacrimal system
317,M50,Cervical disc disorders
318,M80,Osteoporosis with pathological fracture
319,F03,Unspecified dementia
320,Z53,"Persons encountering health services for specific procedures, not carried out"
321,J81,Pulmonary oedema
322,N00,Acute nephritic syndrome
323,J32,Chronic sinusitis
324,J47,Bronchiectasis
325,K83,Other diseases of biliary tract
326,I28,Other diseases of pulmonary vessels
327,I07,Rheumatic tricuspid valve diseases
328,C43,Malignant melanoma of skin
329,I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
330,K40,Inguinal hernia
331,I30,Acute pericarditis
332,I31,Other diseases of pericardium
333,M06,Other rheumatoid arthritis
334,S37,Injury of urinary and pelvic organs
335,F44,Dissociative [conversion] disorders
336,D51,Vitamin B 12 deficiency anaemia
337,F50,Eating disorders
338,O48,Prolonged pregnancy
339,O98,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
340,O26,Maternal care for other conditions predominantly related to pregnancy
341,N20,Calculus of kidney and ureter
342,T46,Poisoning by agents primarily affecting the cardiovascular system
343,C54,Malignant neoplasm of corpus uteri
344,J02,Acute pharyngitis
345,W06,Fall involving bed
346,Q23,Congenital malformations of aortic and mitral valves
347,I42,Cardiomyopathy
349,E22,Hyperfunction of pituitary gland
350,L60,Nail disorders
351,B35,Dermatophytosis
352,R19,Other symptoms and signs involving the digestive system and abdomen
353,K64,Haemorrhoids and perianal venous thrombosis
354,D47,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue"
355,R40,"Somnolence, stupor and coma"
356,Z65,Problems related to other psychosocial circumstances
357,I74,Arterial embolism and thrombosis
358,O45,Premature separation of placenta [abruptio placentae]
359,O75,"Other complications of labour and delivery, not elsewhere classified"
361,O74,Complications of anaesthesia during labour and delivery
362,L73,Other follicular disorders
365,Z42,Follow-up care involving plastic surgery
366,Z40,Prophylactic surgery
367,T85,"Complications of other internal prosthetic devices, implants and grafts"
368,S52,Fracture of forearm
369,K85,Acute pancreatitis
370,Z30,Contraceptive management
371,O64,Obstructed labour due to malposition and malpresentation of fetus
372,O32,Maternal care for known or suspected malpresentation of fetus
373,D27,Benign neoplasm of ovary
374,F39,Unspecified mood [affective] disorder
375,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
376,W19,Unspecified fall
377,E16,Other disorders of pancreatic internal secretion
378,G58,Other mononeuropathies
379,Z56,Problems related to employment and unemployment
380,F14,Mental and behavioural disorders due to use of cocaine
381,F20,Schizophrenia
382,F29,Unspecified nonorganic psychosis
383,Z59,Problems related to housing and economic circumstances
384,F18,Mental and behavioural disorders due to use of volatile solvents
385,H55,Nystagmus and other irregular eye movements
386,F11,Mental and behavioural disorders due to use of opioids
387,N94,Pain and other conditions associated with female genital organs and menstrual cycle
388,M00,Pyogenic arthritis
389,E10,Type 1 diabetes mellitus
390,G95,Other diseases of spinal cord
391,D86,Sarcoidosis
392,J99,Respiratory disorders in diseases classified elsewhere
393,C81,Hodgkin lymphoma
394,D70,Agranulocytosis
395,C85,Other and unspecified types of non-Hodgkin lymphoma
396,G52,Disorders of other cranial nerves
397,H20,Iridocyclitis
398,R59,Enlarged lymph nodes
399,K26,Duodenal ulcer
400,C15,Malignant neoplasm of oesophagus
401,S82,"Fracture of lower leg, including ankle"
402,M85,Other disorders of bone density and structure
403,S42,Fracture of shoulder and upper arm
404,S43,"Dislocation, sprain and strain of joints and ligaments of shoulder girdle"
405,M12,Other specific arthropathies
406,E21,Hyperparathyroidism and other disorders of parathyroid gland
407,E51,Thiamine deficiency
408,I69,Sequelae of cerebrovascular disease
409,K62,Other diseases of anus and rectum
410,R42,Dizziness and giddiness
411,G81,Hemiplegia
413,K66,Other disorders of peritoneum
414,C74,Malignant neoplasm of adrenal gland
415,G03,Meningitis due to other and unspecified causes
416,E27,Other disorders of adrenal gland
417,R77,Other abnormalities of plasma proteins
418,L91,Hypertrophic disorders of skin
419,D57,Sickle-cell disorders
420,C21,Malignant neoplasm of anus and anal canal
421,D65,Disseminated intravascular coagulation [defibrination syndrome]
422,C90,Multiple myeloma and malignant plasma cell neoplasms
423,S62,Fracture at wrist and hand level
424,C20,Malignant neoplasm of rectum
