disease_id,disease_name,disease_class,icd10_codes,primary_icd10,mapping_method,similarity_score
406,"Dentinogenesis imperfecta, Shields type",Bone,,,unmapped,
384,Glioblastoma,Cancer,,,unmapped,
203,Wilms tumor,Cancer,,,unmapped,
497,Rhabdomyosarcoma,Cancer,,,unmapped,
118,Turcot syndrome,Cancer,,,unmapped,
132,Squamous cell carcinoma,Cancer,,,unmapped,
985,Pheochromocytoma,Cancer,,,unmapped,
485,Cancer susceptibility,Cancer,,,unmapped,
784,Cafe-au-lait spots,Cancer,,,unmapped,
1067,Li-Fraumeni syndrome,Cancer,,,unmapped,
116,Gardner syndrome,Cancer,,,unmapped,
252,Li Fraumeni syndrome,Cancer,,,unmapped,
794,Lynch cancer family syndrome II,Cancer,,,unmapped,
942,Lhermitte-Duclos syndrome,Cancer,,,unmapped,
987,Merkel cell carcinoma,Cancer,,,unmapped,
1025,Peutz-Jeghers syndrome,Cancer,,,unmapped,
1132,Oligodontia-colorectal cancer syndrome,Cancer,,,unmapped,
110,Long QT syndrome,Cardiovascular,,,unmapped,
686,Acquired long QT syndrome,Cardiovascular,,,unmapped,
977,Brugada syndrome,Cardiovascular,,,unmapped,
1034,Noncompaction of left ventricular myocardium,Cardiovascular,,,unmapped,
1242,Wolff-Parkinson-White syndrome,Cardiovascular,,,unmapped,
457,Weill-Marchesani syndrome,Connective tissue disorder,,,unmapped,
312,Weissenbacher-Zweymuller syndrome,Connective tissue disorder,,,unmapped,
301,EBD,Dermatological,,,unmapped,
695,Piebaldism,Dermatological,,,unmapped,
704,"Unna-Thost disease, nonepidermolytic",Dermatological,,,unmapped,
1051,Self-healing collodion baby,Dermatological,,,unmapped,
1198,Netherton syndrome,Dermatological,,,unmapped,
1306,Birt-Hogg-Dube syndrome,Dermatological,,,unmapped,
341,Peters anomaly,Developmental,,,unmapped,
765,Angelman syndrome,Developmental,,,unmapped,
667,Leprechaunism,Developmental,,,unmapped,
541,MODY,Endocrine,,,unmapped,
550,Growth hormone,Endocrine,,,unmapped,
1048,Goiter,Endocrine,,,unmapped,
365,Angiotensin I-converting enzyme,Endocrine,,,unmapped,
1073,Total iodide organication defect,Endocrine,,,unmapped,
129,Sea-blue histiocyte disease,Hematological,,,unmapped,
342,Coumarin resistance,Hematological,,,unmapped,
422,"Hematopoiesis, cyclic",Hematological,,,unmapped,
542,Adult i phenotype,Hematological,,,unmapped,
819,May-Hegglin anomaly,Hematological,,,unmapped,
820,Sebastian syndrome,Hematological,,,unmapped,
1020,Pyropoikilocytosis,Hematological,,,unmapped,
208,Complementary component deficiency,Immunological,,,unmapped,
661,Atopy,Immunological,,,unmapped,
62,Adenosine deaminase deficiency,Immunological,,,unmapped,
663,Graft-versus-host disease,Immunological,,,unmapped,
1238,IgE levels QTL,Immunological,,,unmapped,
919,Insulin resistance,Metabolic,,,unmapped,
38,HDL cholesterol level QTL,Metabolic,,,unmapped,
238,Homocystinuria,Metabolic,,,unmapped,
39,Tangier disease,Metabolic,,,unmapped,
127,Hypobetalipoproteinemia,Metabolic,,,unmapped,
147,Placental steroid sulfatase deciency,Metabolic,,,unmapped,
231,Creatine phosphokinase,Metabolic,,,unmapped,
363,Dopamine beta-hydroxylase deciency,Metabolic,,,unmapped,
523,Favism,Metabolic,,,unmapped,
585,Glutathione synthetase deciency,Metabolic,,,unmapped,
605,"Sandho disease, infantile, juvenile, and adult forms",Metabolic,,,unmapped,
1285,3-methylglutaconicaciduria,Metabolic,,,unmapped,
202,Fanconi anemia,Multiple,,,unmapped,
822,Usher syndrome,Multiple,,,unmapped,
186,Mitochondrial complex deciency,Multiple,,,unmapped,
323,Rubenstein-Taybi syndrome,Multiple,,,unmapped,
545,Alexander disease,Multiple,,,unmapped,
559,Vohwinkel syndrome,Multiple,,,unmapped,
685,Jervell and Lange-Nielsen syndrome,Multiple,,,unmapped,
793,Roussy-Levy syndrome,Multiple,,,unmapped,
815,Carney complex,Multiple,,,unmapped,
167,Occipital horn syndrome,Multiple,,,unmapped,
425,Williams-Beuren syndrome,Multiple,,,unmapped,
456,Shprintzen-Goldberg syndrome,Multiple,,,unmapped,
563,Simpson-Golabi-Behmel syndrome,Multiple,,,unmapped,
633,Costello syndrome,Multiple,,,unmapped,
826,Nijmegen breakage syndrome,Multiple,,,unmapped,
949,Zlotogora-Ogur syndrome,Multiple,,,unmapped,
955,Parkes Weber syndrome,Multiple,,,unmapped,
969,Coffin-Lowry syndrome,Multiple,,,unmapped,
1232,"Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked",Multiple,,,unmapped,
272,Myotonia congenita,Muscular,,,unmapped,
814,Central core disease,Muscular,,,unmapped,
974,"Cramps, potassium-aggravated",Muscular,,,unmapped,
976,Paramyotonia congenita,Muscular,,,unmapped,
390,Charcot-Marie-Tooth disease,Neurological,,,unmapped,
185,Leigh syndrome,Neurological,,,unmapped,
370,Subcortical laminar heterotopia,Neurological,,,unmapped,
442,Branchiootic syndrome,Neurological,,,unmapped,
752,Pallidopontonigral degeneration,Neurological,,,unmapped,
766,PPM-X syndrome,Neurological,,,unmapped,
829,Norrie disease,Neurological,,,unmapped,
911,Pelizaeus-Merzbacher disease,Neurological,,,unmapped,
928,Gerstmann-Straussler disease,Neurological,,,unmapped,
929,Prion disease with protracted course,Neurological,,,unmapped,
1003,"Creatine deciency syndrome, X-linked",Neurological,,,unmapped,
1015,PCWH,Neurological,,,unmapped,
76,"Leanness, inherited",Nutritional,,,unmapped,
324,Leber congenital amaurosis,Ophthamological,,,unmapped,
491,Iridogoniodysgenesis,Ophthamological,,,unmapped,
293,Wagner syndrome,Ophthamological,,,unmapped,
490,Axenfeld anomaly,Ophthamological,,,unmapped,
828,Coats disease,Ophthamological,,,unmapped,
875,Foveal hypoplasia,Ophthamological,,,unmapped,
958,"Butterfly dystrophy, retinal",Ophthamological,,,unmapped,
959,"Foveomacular dystrophy, adult-onset, with choroidal neovascularization",Ophthamological,,,unmapped,
965,Bothnia retinal dystrophy,Ophthamological,,,unmapped,
982,Liddle syndrome,Renal,,,unmapped,
1099,Denys-Drash syndrome,Renal,,,unmapped,
187,Central hypoventilation syndrome,Respiratory,,,unmapped,
472,Pfeiffer syndrome,Skeletal,,,unmapped,
799,Parietal foramina,Skeletal,,,unmapped,
291,SMED Strudwick type,Skeletal,,,unmapped,
479,"Thanatophoric dysplasia, types I and II",Skeletal,,,unmapped,
502,Larson syndrome,Skeletal,,,unmapped,
627,Vertical talus,Skeletal,,,unmapped,
877,Morning glory disc anomaly,Skeletal,,,unmapped,
991,Solitary median maxillary central incisor,Skeletal,,,unmapped,
69,"Beta-2-adrenoreceptor agonist, reduced response to",Unclassified,,,unmapped,
134,Aquaporin-1 deficiency,Unclassified,,,unmapped,
747,van Buchem disease,Unclassified,,,unmapped,
