	response
K76	"{
  ""comment"": ""Patients with other liver diseases (K76) often have underlying or related hepatic conditions such as alcoholic liver disease (K70), toxic liver disease (K71), hepatitis (K72), chronic liver disease (K73), and cirrhosis (K74). These categories are strongly associated with K76 and therefore more likely to co‑occur than in a random patient."",
  ""answer"": {
    ""B"": [""K70"", ""K71"", ""K72"", ""K73"", ""K74""],
    ""C"": []
  }
}"
R18	"```json
{
  ""comment"": ""Ascites is most commonly associated with advanced liver disease, portal hypertension, and related complications. Therefore, categories reflecting liver cirrhosis, alcoholic liver disease, portal hypertension, and variceal bleeding are markedly more likely. Conversely, conditions unrelated to hepatic pathology—such as acute infectious diarrheal diseases or chronic obstructive pulmonary disease—are less likely to co‑occur in a patient with ascites."",
  ""answer"": {
    ""B"": [""K70"", ""K74"", ""K76"", ""I85"", ""I86"", ""C22""],
    ""C"": [""A00"", ""J45"", ""I10""]
  }
}
```"
K74	"{
  ""comment"": ""Patients with liver fibrosis/cirrhosis (K74) frequently have related hepatic disorders such as alcoholic liver disease (K70), other chronic liver disease (K73), and other inflammatory liver diseases (K75). They also develop complications like portal hypertension (I85) and its sequelae (I83). Metabolic conditions such as malnutrition (E83) and chronic kidney disease (N18) are common comorbidities. Conversely, conditions unrelated to liver disease, such as acute infections (A00‑A09) or primary cardiac arrhythmias (I48), are less likely to be present simply by chance."",
  ""answer"": {
    ""B"": [""K70"", ""K73"", ""K75"", ""K76"", ""I85"", ""I83"", ""E83"", ""N18""],
    ""C"": [""A00"", ""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09"", ""I48""]
  }
}"
B19	"{
  ""comment"": ""Patients with unspecified viral hepatitis (B19) often have other viral hepatitis diagnoses (B15, B18, B21) due to overlapping etiologies or misclassification, and may develop chronic liver complications such as cirrhosis (B18) or hepatocellular carcinoma (C22). Conversely, conditions unrelated to liver disease, such as lung cancer (C34), are less likely to co‑occur simply because the underlying risk factors and pathophysiology differ."",
  ""answer"": {
    ""B"": [""B15"", ""B18"", ""B21"", ""C22""],
    ""C"": [""C34""]
  }
}"
J44	"{
  ""comment"": ""Patients with chronic obstructive pulmonary disease (COPD) frequently have cardiovascular comorbidities such as ischemic heart disease (I25) and hypertension (I10) due to shared risk factors (smoking, systemic inflammation). Asthma (J45) and other obstructive airway disorders (J43) are often co‑diagnosed or mis‑classified. Shortness of breath (R06) is a common presenting symptom. Conversely, sleep‑disordered breathing (G47) is less consistently coded in COPD registries, possibly because it is under‑diagnosed or not routinely coded when COPD is the primary focus."",
  ""answer"": {
    ""B"": [""I25"", ""I10"", ""J45"", ""R06"", ""J43""],
    ""C"": [""G47""]
  }
}"
F31	"{
  ""comment"": ""Bipolar disorder is strongly linked to substance use disorders, mood‑related disorders, and sleep disturbances, making these categories more likely. Conditions such as asthma (J45) and many specific cancers (C00‑C97) are not typically associated with bipolar disorder and are therefore less likely to appear in the same patient record."",
  ""answer"": {
    ""B"": [""F10"", ""F11"", ""F32"", ""F41"", ""F50"", ""F60"", ""G47""],
    ""C"": [""J45"", ""C00"", ""C34""]
  }
}"
F43	"{
  ""comment"": ""Patients with adjustment disorders (F43) often have comorbid anxiety (F40), depressive (F32), and post‑traumatic stress (F43.1) disorders due to shared stress pathways. Substance use disorders (F10‑F19) are also common as coping mechanisms. Sleep disorders (G47) frequently co‑occur. Conversely, conditions unrelated to stress such as malignant neoplasms (C) or acute fractures (S) are not specifically linked and are less likely to be seen in this population."",
  ""answer"": {
    ""B"": [""F40"", ""F32"", ""F43.1"", ""F10"", ""F11"", ""F12"", ""F13"", ""F14"", ""F15"", ""F16"", ""F17"", ""F18"", ""F19"", ""G47""],
    ""C"": [""C"", ""S""]
  }
}"
Z87	"```json
{
  ""comment"": ""A personal history of other diseases (Z87) indicates that the patient has had at least one prior diagnosis.  Such patients are more likely to have common chronic conditions that are often recorded as histories, e.g., hypertension (I10), type‑2 diabetes (E11), and asthma (J45).  Conversely, rare or highly specific conditions such as malignant neoplasms of unspecified site (C80) or congenital malformations (Q00–Q99) are less likely to be present simply because they are uncommon in the general population and are not typically recorded as a personal history unless specifically noted."",
  ""answer"": {
    ""B"": [""I10"", ""E11"", ""J45""],
    ""C"": [""C80"", ""Q00""]
  }
}
```"
D69	"{
  ""comment"": ""Patients with purpura and other haemorrhagic conditions (D69) often have underlying vascular or coagulation disorders, making vascular events such as intracerebral hemorrhage (I61) and hypertension (I10) more common. Acute hemorrhagic gastritis (K92.0) can also be a complication of systemic bleeding disorders. Conversely, conditions that are largely unrelated to bleeding or vascular pathology—such as breast cancer (C50), asthma (J45), and type‑2 diabetes (E11)—are not expected to be more frequent in this group and are therefore less likely than in a random patient."",
  ""answer"": {
    ""B"": [""I61"", ""I10"", ""K92.0""],
    ""C"": [""C50"", ""J45"", ""E11""]
  }
}"
E87	"{
  ""comment"": ""Patients with fluid, electrolyte, and acid‑base disorders (E87) frequently have other metabolic disturbances such as specific electrolyte disorders (E83) and other related fluid‑electrolyte abnormalities (E88). These conditions are strongly associated and thus more likely than in a random patient. Conversely, a condition like breast cancer (C50) has no direct pathophysiologic link to electrolyte imbalance and is therefore less likely to co‑occur."",
  ""answer"": {
    ""B"": [""E83"", ""E88""],
    ""C"": [""C50""]
  }
}"
